,ANO_BO,NUM_BO,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,BO_AUTORIA,FLAGRANTE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO
45,2017,2790,2017-03-13 20:51:57,2017-03-14 01:06:53,2017-03-13 00:00:00,A TARDE,2017-03-13 00:00:00,Conhecida,Sim,RUA PALMARES,554.0,TUPI,PRAIA GRANDE,SP,"-240,211,944,397,058","-464,521,268,001,176",Via pública,IML,BO PARA FLAGRANTE,DEL.POL.PRAIA GRANDE,DEL.POL.PRAIA GRANDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BIF4675,SP,ITAPIRA,Bege,VW/GOL GL,1988.0,1988.0,AUTOMOVEL
53,2017,1962,2017-03-14 01:15:09,2017-03-14 01:20:11,2017-03-13 00:00:00,PELA MANHÃ,2017-03-14 00:00:00,Desconhecida,Não,RUA CAPITAO FONSECA ROSA,30.0,SANTO AMARO,S.PAULO,SP,"-236,323,686,551,777","-467,139,419,121,777",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,07º D.P. GUARULHOS,11º D.P. SANTO AMARO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EMJ5490,SP,S.PAULO,Vermelho,VW/NOVO GOL 1.6 RALLYE,2013.0,2014.0,AUTOMOVEL
85,2017,850,2017-03-14 06:02:17,2017-03-14 07:49:06,2017-03-14 00:00:00,DE MADRUGADA,2017-03-14 00:00:00,Conhecida,Não,RUA JANDIRA DE LIMA CAMARGO,6.0,TERRA PRETA,MAIRIPORA,SP,"-232,647,331,995","-465,852,914,385",Via pública,IC-IML,ENCAM FEBEM/V.INFAN.JUVENTUDE,DEL.POL.MAIRIPORÃ,01º D.P. MAIRIPORÃ,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CYA4327,SP,MAIRIPORA,Azul,FIAT/UNO MILLE SMART,2000.0,2001.0,AUTOMOVEL
104,2017,4531,2017-11-27 20:37:19,2017-11-28 06:29:05,2017-11-27 00:00:00,A TARDE,2017-11-27 00:00:00,Conhecida,Sim,AVENIDA DEPUTADO CASTRO DE CARVALHO,2001.0,VILA REAL,POA,SP,"-23,520,854,708","-463,400,289,156,591",Via pública,IC-IML,BO PARA FLAGRANTE,DEL.POL.POA,DEL.POL.POA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CFG6942,SP,POA,Vermelho,FIAT/UNO MILLE IE,1996.0,1996.0,AUTOMOVEL
112,2017,3708,2017-11-28 06:50:10,2017-11-28 08:15:11,2017-11-28 00:00:00,DE MADRUGADA,2017-11-28 00:00:00,Desconhecida,Não,RUA OTÁVIO DIAS ARAÚJO,806.0,BAIRRO CIDADE NOVA,PEDERNEIRAS,SP,"-22,321,907,392","-48,799,843,181",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.PEDERNEIRAS,DEL.POL.PEDERNEIRAS,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,CFU2764,SP,RIBEIRAO BONITO,Verde,VW/SANTANA GLS,1989.0,1989.0,AUTOMOVEL
132,2017,2069,2017-11-28 08:48:23,2017-11-28 09:31:41,2017-11-28 00:00:00,DE MADRUGADA,2017-11-28 00:00:00,Desconhecida,Não,RUA JOSE ESTEVES,1500.0,JD BOTANICO MIL,S.PEDRO,SP,"-225,521,017,799,999","-47,892,171,619",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.S.PEDRO,DEL.POL.S.PEDRO,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,CME8583,SP,RIO CLARO,Prata,GM/BLAZER DLX,1998.0,1998.0,UTILITÁRIO
188,2017,4798,2017-07-31 18:38:55,2017-07-31 19:46:46,2017-07-31 00:00:00,A NOITE,2017-07-31 00:00:00,Conhecida,Sim,RUA GUAMIRANGA,100.0,VILA PRUDENTE,S.PAULO,SP,"-235,919,427,324,009","-46,588,476,181,599",Via pública,IC-IML,BO PARA FLAGRANTE,56º D.P. VILA ALPINA,56º D.P. VILA ALPINA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EQD6244,SP,DIADEMA,Roxa,YAMAHA/FAZER YS250,2010.0,2011.0,MOTOCICLO
208,2017,6408,2017-07-31 20:35:36,2017-07-31 20:41:23,2017-05-04 00:00:00,A NOITE,2017-07-31 00:00:00,Desconhecida,Não,RUA SEBASTIÃO DE MORÃES,574.0,JARDIM ALVINOPOLIS,ATIBAIA,SP,"-23,116,730,479","-46,562,722,481",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.PLANTÃO ATIBAIA,02º D.P. ATIBAIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BVA9277,SP,ATIBAIA,Verde,FORD/FIESTA,1997.0,1997.0,AUTOMOVEL
262,2017,5932,2017-07-31 22:57:27,2017-07-31 23:13:35,2017-07-30 00:00:00,PELA MANHÃ,2017-07-31 00:00:00,Desconhecida,Não,RUA MANUEL HOMEM DE ALMEIDA,151.0,CIDADE ADEMAR,S.PAULO,SP,"-236,822,636,475,813","-466,408,374,715,465",Via pública,,BO PARA REGISTRO,98º D.P. JARDIM MIRIAM,98º D.P. JARDIM MIRIAM,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PYO5002,MG,BELO HORIZONTE,Cinza,RENAULT/SANDERO EXPR 10,2016.0,2017.0,AUTOMOVEL
300,2017,10382,2017-04-11 03:14:29,2017-04-11 05:11:08,2017-03-11 00:00:00,A NOITE,2017-04-11 00:00:00,Conhecida,Não,RUA DOS CUNHA,182.0,CIDADE TIRADENTES,S.PAULO,SP,"-23,573,867,206,404","-464,142,898,958,052",Via pública,,ENCAM FEBEM/V.INFAN.JUVENTUDE,49º D.P. SAO MATEUS,54º D.P. CID. TIRADENTES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BGH3581,SP,ITAQUAQUECETUBA,Cinza,FORD/ESCORT GL,1991.0,1991.0,AUTOMOVEL
304,2017,6165,2017-04-11 01:10:05,2017-04-11 05:20:17,2017-03-11 00:00:00,A NOITE,2017-04-11 00:00:00,Conhecida,Sim,,0.0,,,,,,Residência,IC-IML,BO PARA FLAGRANTE,DEL.SEC.PIRACICABA PLANTÃO,DEL.POL.S.PEDRO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CFL5260,SP,S.PEDRO,Cinza,GM/VECTRA GLS,1996.0,1997.0,AUTOMOVEL
312,2017,12267,2017-04-11 05:03:53,2017-04-11 06:29:51,2017-04-11 00:00:00,DE MADRUGADA,2017-04-11 00:00:00,Conhecida,Não,RUA ALBINO GERVÁSONI,100.0,JARDIM PARAISO,S.JOSE DO RIO PRETO,SP,"-207,807,323,536,543","-493,874,585,827,407",Via pública,IC-IML,BO PARA ADENDO,DEL.SEC.S.J RIO PRETO PLANTÃO,04º D.P. S.JOSE RIO PRETO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BQB6450,SP,S.JOSE DO RIO PRETO,Vermelho,FIAT/FIAT UNO S,1985.0,1986.0,AUTOMOVEL
330,2017,8383,2017-04-11 08:52:34,2017-04-11 09:27:43,2017-04-11 00:00:00,DE MADRUGADA,2017-04-11 00:00:00,Desconhecida,Não,AVENIDA INAJAR DE SOUZA,4774.0,BRASILANDIA,S.PAULO,SP,"-234,687,921,778,992","-466,703,357,466,906",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,72º D.P. VILA PENTEADO,72º D.P. VILA PENTEADO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EKR4576,SP,OSASCO,Prata,HONDA/CITY EXL FLEX,2009.0,2010.0,AUTOMOVEL
347,2017,10390,2017-04-11 10:27:04,2017-04-11 10:32:16,2017-01-11 00:00:00,A NOITE,2017-04-11 00:00:00,Desconhecida,Não,RUA SANTA ELVIRA,422.0,TATUAPE,S.PAULO,SP,"-235,283,464,968,233","-465,671,562,496,664",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,52º D.P. PARQUE S.JORGE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FBO6171,SP,S.PAULO,Vermelho,CHEVROLET/CELTA 1.0L LT,2012.0,2013.0,AUTOMOVEL
360,2017,5051,2017-04-11 09:04:44,2017-04-11 11:01:28,2017-04-11 00:00:00,PELA MANHÃ,2017-04-11 00:00:00,Conhecida,Não,AVENIDA DOUTOR ULISSES GUIMARÃES,3800.0,CONCEICAO,DIADEMA,SP,"-236,983,305,488,048","-466,261,626,102,879",Via pública,IC,ENCAM FEBEM/V.INFAN.JUVENTUDE,03º D.P. DIADEMA,01º D.P. DIADEMA,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,DGM9957,SP,S.PAULO,Preta,YAMAHA/YBR 125ED,2003.0,2003.0,MOTOCICLO
378,2017,1828,2017-02-23 16:13:49,2017-02-23 16:46:01,2017-02-23 00:00:00,PELA MANHÃ,2017-02-23 00:00:00,Desconhecida,Não,RUA TORRES FLORENCIO E RIELLI,270.0,SAPOPEMBA,S.PAULO,SP,"-236,077,148,064,444","-465,107,736,839,444",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,69º D.P. TEOTONIO VILELA,70º D.P. VILA EMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EZN6860,SP,S.PAULO,Prata,FORD/ECOSPORT FSL 1.6,2014.0,2014.0,CAMIONETA
385,2017,928,2017-02-23 16:44:43,2017-02-23 17:14:45,2017-02-23 00:00:00,PELA MANHÃ,2017-02-23 00:00:00,Desconhecida,Não,AVENIDA DOS ESTADOS,6000.0,PARQUE JAÇATUBA,S.ANDRE,SP,"-236,512,162,719,999","-465,216,444,609,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,04º D.P. SANTO ANDRÉ,02º D.P. SANTO ANDRÉ,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,OQE7885,SP,S.PAULO,Prata,FIAT/UNO VIVACE 1.0,2013.0,2014.0,AUTOMOVEL
398,2017,1494,2017-02-23 17:27:16,2017-02-23 17:42:01,2016-08-05 00:00:00,PELA MANHÃ,2017-02-23 00:00:00,Conhecida,Não,AVENIDA SERRA DA MANTIQUEIRA,0.0,BONSUCESSO,GUARULHOS,SP,"-233,949,108,529,999","-463,958,939,149,999",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,07º D.P. GUARULHOS,07º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CTJ3496,SP,GUARULHOS,Azul,FIAT/UNO MILLE EX,2000.0,2000.0,AUTOMOVEL
417,2017,1424,2017-02-23 17:48:20,2017-02-23 18:00:25,2017-02-23 00:00:00,A TARDE,2017-02-23 00:00:00,Desconhecida,Não,RUA MANOEL JORGE RIBEIRO,0.0,PENHA,S.PAULO,SP,"-235,215,361,649,999","-465,278,645,069,999",Via pública,,BO PARA INVESTIGAÇÃO,10º D.P. PENHA DE FRANCA,10º D.P. PENHA DE FRANCA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FNT3368,SP,S.PAULO,Prata,VW/NOVO VOYAGE 1.6 CITY,2013.0,2014.0,AUTOMOVEL
